SObject: SObject Name,SObjectField: SObjectField Name,type,isCustom
Order,Type,PICKLIST,0
Lead,Id,ID,0
Lead,IsDeleted,BOOLEAN,0
Lead,MasterRecordId,REFERENCE,0
Lead,LastName,STRING,0
Lead,FirstName,STRING,0
Lead,Salutation,PICKLIST,0
Lead,Name,STRING,0
Lead,Title,STRING,0
Lead,Company,STRING,0
Lead,Street,TEXTAREA,0
Lead,City,STRING,0
Lead,State,STRING,0
Lead,PostalCode,STRING,0
Lead,Country,STRING,0
Lead,Latitude,DOUBLE,0
Lead,Longitude,DOUBLE,0
Lead,GeocodeAccuracy,PICKLIST,0
Lead,Address,ADDRESS,0
Lead,Phone,PHONE,0
Lead,MobilePhone,PHONE,0
Solution,SystemModstamp,DATETIME,0
Solution,TimesUsed,INTEGER,0
Solution,LastViewedDate,DATETIME,0
Solution,LastReferencedDate,DATETIME,0
Solution,IsHtml,BOOLEAN,0
User,ReceivesInfoEmails,BOOLEAN,0
User,ReceivesAdminInfoEmails,BOOLEAN,0
Account,Industry,PICKLIST,0
Account,AnnualRevenue,CURRENCY,0
Account,NumberOfEmployees,INTEGER,0
Account,Ownership,PICKLIST,0
Account,TickerSymbol,STRING,0
Account,Description,TEXTAREA,0
Account,Rating,PICKLIST,0
Account,Site,STRING,0
Account,OwnerId,REFERENCE,0
Account,CreatedDate,DATETIME,0
Account,CreatedById,REFERENCE,0
Account,LastModifiedDate,DATETIME,0
Account,LastModifiedById,REFERENCE,0
Account,SystemModstamp,DATETIME,0
Account,LastActivityDate,DATE,0
Account,LastViewedDate,DATETIME,0
Account,LastReferencedDate,DATETIME,0
Product2,Id,ID,0
Product2,Name,STRING,0
Product2,ProductCode,STRING,0
Product2,Description,TEXTAREA,0
Product2,IsActive,BOOLEAN,0
Product2,CreatedDate,DATETIME,0
Product2,CreatedById,REFERENCE,0
Product2,LastModifiedDate,DATETIME,0
Product2,LastModifiedById,REFERENCE,0
User,EmailEncodingKey,PICKLIST,0
User,ProfileId,REFERENCE,0
User,UserType,PICKLIST,0
User,LanguageLocaleKey,PICKLIST,0
User,EmployeeNumber,STRING,0
User,DelegatedApproverId,REFERENCE,0
User,ManagerId,REFERENCE,0
User,LastLoginDate,DATETIME,0
User,LastPasswordChangeDate,DATETIME,0
User,CreatedDate,DATETIME,0
User,CreatedById,REFERENCE,0
User,LastModifiedDate,DATETIME,0
User,LastModifiedById,REFERENCE,0
User,SystemModstamp,DATETIME,0
User,OfflineTrialExpirationDate,DATETIME,0
User,OfflinePdaTrialExpirationDate,DATETIME,0
User,UserPermissionsMarketingUser,BOOLEAN,0
User,UserPermissionsOfflineUser,BOOLEAN,0
Product2,SystemModstamp,DATETIME,0
Product2,Family,PICKLIST,0
Product2,IsDeleted,BOOLEAN,0
Product2,LastViewedDate,DATETIME,0
Product2,LastReferencedDate,DATETIME,0
Goal,CreatedById,REFERENCE,0
Goal,LastModifiedDate,DATETIME,0
Goal,LastModifiedById,REFERENCE,0
Goal,SystemModstamp,DATETIME,0
Goal,LastViewedDate,DATETIME,0
Goal,LastReferencedDate,DATETIME,0
Goal,Description,TEXTAREA,0
Goal,ImageUrl,URL,0
Goal,DueDate,DATE,0
Goal,CompletionDate,DATETIME,0
Goal,StartDate,DATE,0
Goal,IsKeyCompanyGoal,BOOLEAN,0
Goal,Status,PICKLIST,0
Goal,Progress,PERCENT,0
Goal,OrigGoalId__c,STRING,0
Account,Jigsaw,STRING,0
Account,JigsawCompanyId,STRING,0
Account,CleanStatus,PICKLIST,0
Account,AccountSource,PICKLIST,0
Account,DunsNumber,STRING,0
Account,Tradestyle,STRING,0
User,UserPermissionsCallCenterAutoLogin,BOOLEAN,0
User,UserPermissionsMobileUser,BOOLEAN,0
User,UserPermissionsSFContentUser,BOOLEAN,0
User,UserPermissionsKnowledgeUser,BOOLEAN,0
User,UserPermissionsInteractionUser,BOOLEAN,0
User,UserPermissionsSupportUser,BOOLEAN,0
User,UserPermissionsJigsawProspectingUser,BOOLEAN,0
User,UserPermissionsSiteforceContributorUser,BOOLEAN,0
User,UserPermissionsSiteforcePublisherUser,BOOLEAN,0
User,UserPermissionsWorkDotComUserFeature,BOOLEAN,0
User,ForecastEnabled,BOOLEAN,0
User,UserPreferencesActivityRemindersPopup,BOOLEAN,0
User,UserPreferencesEventRemindersCheckboxDefault,BOOLEAN,0
User,UserPreferencesTaskRemindersCheckboxDefault,BOOLEAN,0
User,UserPreferencesReminderSoundOff,BOOLEAN,0
User,UserPreferencesDisableAllFeedsEmail,BOOLEAN,0
User,UserPreferencesDisableFollowersEmail,BOOLEAN,0
User,UserPreferencesDisableProfilePostEmail,BOOLEAN,0
Order,BillingStreet,TEXTAREA,0
Order,BillingCity,STRING,0
Order,BillingState,STRING,0
Order,BillingPostalCode,STRING,0
Order,BillingCountry,STRING,0
Order,BillingLatitude,DOUBLE,0
Account,NaicsCode,STRING,0
Account,NaicsDesc,STRING,0
Account,YearStarted,STRING,0
Account,SicDesc,STRING,0
Account,DandbCompanyId,REFERENCE,0
Account,CustomerPriority__c,PICKLIST,0
Account,SLA__c,PICKLIST,0
Account,Active__c,PICKLIST,0
Account,NumberofLocations__c,DOUBLE,0
Account,UpsellOpportunity__c,PICKLIST,0
Account,SLASerialNumber__c,STRING,0
Account,SLAExpirationDate__c,DATE,0
Asset,Id,ID,0
Asset,ContactId,REFERENCE,0
Asset,AccountId,REFERENCE,0
Asset,ParentId,REFERENCE,0
Asset,RootAssetId,REFERENCE,0
Asset,Product2Id,REFERENCE,0
Asset,IsCompetitorProduct,BOOLEAN,0
Asset,CreatedDate,DATETIME,0
Asset,CreatedById,REFERENCE,0
Asset,LastModifiedDate,DATETIME,0
Asset,LastModifiedById,REFERENCE,0
Asset,SystemModstamp,DATETIME,0
Asset,IsDeleted,BOOLEAN,0
Asset,Name,STRING,0
Asset,SerialNumber,STRING,0
Order,BillingLongitude,DOUBLE,0
Order,BillingGeocodeAccuracy,PICKLIST,0
Order,BillingAddress,ADDRESS,0
Order,ShippingStreet,TEXTAREA,0
Order,ShippingCity,STRING,0
Order,ShippingState,STRING,0
Order,ShippingPostalCode,STRING,0
Order,ShippingCountry,STRING,0
Order,ShippingLatitude,DOUBLE,0
Order,ShippingLongitude,DOUBLE,0
Order,ShippingGeocodeAccuracy,PICKLIST,0
Order,ShippingAddress,ADDRESS,0
Order,Name,STRING,0
Order,PoDate,DATE,0
Order,PoNumber,STRING,0
Order,OrderReferenceNumber,STRING,0
Order,BillToContactId,REFERENCE,0
Order,ShipToContactId,REFERENCE,0
Order,ActivatedDate,DATETIME,0
Order,ActivatedById,REFERENCE,0
Order,StatusCode,PICKLIST,0
